dsc_cycle,axi_cycle,phase,slice_buffer_valid,slice_buffer_last,flatness_valid,flatness_last,predict_valid,predict_last
2611,870,pixel_transfer,2,0,3,0,3,0
2614,871,pixel_transfer,1,0,0,0,0,0
2615,871,pixel_transfer,2,0,3,0,3,0
2618,872,pixel_transfer,1,0,0,0,0,0
2619,872,pixel_transfer,2,0,3,1,3,0
2622,873,pixel_transfer,1,0,0,0,0,0
2623,874,pixel_transfer,2,0,2,0,3,1
2626,875,pixel_transfer,1,0,0,0,0,0
2627,875,pixel_transfer,2,0,2,0,2,0
2630,876,pixel_transfer,1,0,0,0,0,0
2631,876,pixel_transfer,2,0,2,0,2,0
2634,877,pixel_transfer,1,0,0,0,0,0
2635,878,pixel_transfer,2,0,2,0,2,0
2638,879,pixel_transfer,1,0,0,0,0,0
2639,879,pixel_transfer,2,0,2,0,2,0
2642,880,pixel_transfer,1,0,1,0,0,0
2643,880,pixel_transfer,2,0,2,0,2,0
2646,881,pixel_transfer,1,0,1,0,1,0
2647,882,pixel_transfer,2,0,2,0,2,0
2650,883,pixel_transfer,1,0,1,0,1,0
2651,883,pixel_transfer,2,0,2,0,2,0
2654,884,pixel_transfer,1,0,1,0,1,0
2655,884,pixel_transfer,2,0,2,0,2,0
2658,885,pixel_transfer,1,0,1,0,1,0
2659,886,pixel_transfer,2,0,2,0,2,0
2662,887,pixel_transfer,1,0,1,0,1,0
2663,887,pixel_transfer,2,2,2,0,2,0
2666,888,pixel_transfer,1,0,1,0,1,0
2667,888,pixel_transfer,0,0,2,0,2,0
2670,889,pixel_transfer,1,0,1,0,1,0
2671,890,pixel_transfer,0,0,2,0,2,0
2674,891,pixel_transfer,1,0,1,0,1,0
2675,891,pixel_transfer,0,0,2,0,2,0
2678,892,pixel_transfer,1,0,1,0,1,0
2679,892,pixel_transfer,0,0,2,0,2,0
2682,893,pixel_transfer,1,0,1,0,1,0
2683,894,pixel_transfer,0,0,2,0,2,0
2686,895,pixel_transfer,3,0,1,0,1,0
2687,895,pixel_transfer,0,0,2,0,2,0
2690,896,pixel_transfer,3,0,1,0,1,0
2691,896,pixel_transfer,0,0,2,2,2,0
2694,897,pixel_transfer,3,0,1,0,1,0
2695,898,pixel_transfer,0,0,0,0,2,2
2698,899,line_marker,3,0,1,0,1,0
2702,900,pixel_transfer,3,0,1,0,1,0
2706,901,pixel_transfer,3,0,1,0,1,0
2710,903,pixel_transfer,3,0,1,0,1,0
2714,904,pixel_transfer,3,0,3,0,1,0
2718,905,pixel_transfer,3,0,3,0,3,0
2722,907,pixel_transfer,3,0,3,0,3,0
2726,908,pixel_transfer,3,0,3,0,3,0
2730,909,pixel_transfer,3,0,3,0,3,0
2734,911,pixel_transfer,3,0,3,0,3,0
2738,912,pixel_transfer,3,1,3,0,3,0
2742,913,pixel_transfer,2,0,3,0,3,0
